planet_ta,planet_en,short_description,category,keywords,section,content
குரு,Jupiter,ஞானம் மற்றும் செல்வம்,காரகத்துவம் (Karaka),"புத்திரன், தங்கம், நெய், பூஜை அறை",இடங்கள்,"ஆலயங்கள், வங்கிகள், நிதி நிறுவனங்கள், பள்ளிகள், கல்லூரிகள் மற்றும் பூஜை அறை."
குரு,Jupiter,ஞானம் மற்றும் செல்வம்,காரகத்துவம் (Karaka),"புத்திரன், தங்கம், நெய், பூஜை அறை",உடல் மற்றும் நோய்கள்,"வயிறு, கல்லீரல், மூளை, சதை மற்றும் ஜீவ ஆற்றல். நோய்களில் மஞ்சள் காமாலை, குடலிறக்கம் (Hernia) மற்றும் ஈரல் நோய்கள் அடங்கும்."
குரு,Jupiter,ஞானம் மற்றும் செல்வம்,காரகத்துவம் (Karaka),"புத்திரன், தங்கம், நெய், பூஜை அறை",தொழில்கள்,"பேராசிரியர், அமைச்சர், வங்கி அதிகாரி, நீதிபதி, ஜோதிடர் மற்றும் வக்கீல்."
குரு,Jupiter,ஞானம் மற்றும் செல்வம்,காரகத்துவம் (Karaka),"புத்திரன், தங்கம், நெய், பூஜை அறை",உணவுப் பொருட்கள்,"நெய், தேன், இனிப்பு, மஞ்சள் மற்றும் சீரகம்."
குரு,Jupiter,ஞானம் மற்றும் செல்வம்,காரகத்துவம் (Karaka),"புத்திரன், தங்கம், நெய், பூஜை அறை",மற்றவை,"தங்கம், புஷ்பராகம், மூன்றாம் எண், வடக்கு திசை, தர்மம் மற்றும் மந்திர ஜபம்."
குரு,Jupiter,ஞானம் மற்றும் செல்வம்,காரகத்துவம் (Karaka),"புத்திரன், தங்கம், நெய், பூஜை அறை",வீட்டின் அமைப்பு,வீட்டின் பூஜை அறை.
குரு,Jupiter,ஞானம் மற்றும் செல்வம்,காரகத்துவம் (Karaka),"புத்திரன், தங்கம், நெய், பூஜை அறை",வேறு பெயர்கள்,"அந்தணன், அமைச்சர், அரசன், ஆசான், தேவகுரு, பிரகஸ்பதி, விதகன், பொன்னன், மறையோன், வேந்தன், சூரி, ஜீவன், தேசிகன்."
சுக்கிரன்,Venus,சுகபோகம் மற்றும் கலை,காரகத்துவம் (Karaka),"மனைவி, ஆடம்பரம், இனிப்பு, படுக்கையறை",உயிர் காரகத்துவங்கள்,"மனைவி, இளம் பெண்கள், மகள், அத்தை மற்றும் சித்தி."
சுக்கிரன்,Venus,சுகபோகம் மற்றும் கலை,காரகத்துவம் (Karaka),"மனைவி, ஆடம்பரம், இனிப்பு, படுக்கையறை",இடங்கள்,"மலர் தோட்டம், படுக்கையறை, சினிமா தியேட்டர், நகைக்கடை மற்றும் வாகனத் தொழிற்சாலை."
சுக்கிரன்,Venus,சுகபோகம் மற்றும் கலை,காரகத்துவம் (Karaka),"மனைவி, ஆடம்பரம், இனிப்பு, படுக்கையறை",உடல் மற்றும் நோய்கள்,"கருப்பை, சிறுநீரகம் மற்றும் பெண்ணின் மர்ம உறுப்பு. நோய்களில் நீரிழிவு, பாலியல் நோய்கள், ஹார்மோன் பிரச்சனை மற்றும் கருக்கலைப்பு அடங்கும்."
சுக்கிரன்,Venus,சுகபோகம் மற்றும் கலை,காரகத்துவம் (Karaka),"மனைவி, ஆடம்பரம், இனிப்பு, படுக்கையறை",தொழில்கள்,"சினிமா, கலைத்துறை, டெக்ஸ்டைல்ஸ், பேஷன் டிசைனிங், அழகு சாதனங்கள் மற்றும் வாசனை திரவியங்கள்."
சுக்கிரன்,Venus,சுகபோகம் மற்றும் கலை,காரகத்துவம் (Karaka),"மனைவி, ஆடம்பரம், இனிப்பு, படுக்கையறை",உணவுப் பொருட்கள்,"இனிப்பு, மீன், பீன்ஸ் மற்றும் பட்டர் பீன்ஸ்."
சுக்கிரன்,Venus,சுகபோகம் மற்றும் கலை,காரகத்துவம் (Karaka),"மனைவி, ஆடம்பரம், இனிப்பு, படுக்கையறை",மற்றவை,"வைரம், வெள்ளி, பட்டு, ஆறாம் எண், காதல், திருமணம், கார் மற்றும் சொகுசு வாழ்க்கை."
சுக்கிரன்,Venus,சுகபோகம் மற்றும் கலை,காரகத்துவம் (Karaka),"மனைவி, ஆடம்பரம், இனிப்பு, படுக்கையறை",வீட்டின் அமைப்பு,வீட்டின் படுக்கையறை.
சுக்கிரன்,Venus,சுகபோகம் மற்றும் கலை,காரகத்துவம் (Karaka),"மனைவி, ஆடம்பரம், இனிப்பு, படுக்கையறை",வேறு பெயர்கள்,"அசுர மந்திரி, உசனன், கவி, காப்பியன், சுங்கன், பார்க்கவன், பிருகு, புகர், மழை கோல், வெள்ளி."
சனி,Saturn,கர்மா மற்றும் உழைப்பு,காரகத்துவம் (Karaka),"தொழிலாளி, இரும்பு, எள், சேமிப்பறை",உயிர் காரகத்துவங்கள்,"அண்ணன், சித்தப்பா, வேலையாட்கள், தொழிலாளர்கள் மற்றும் முதியவர்கள்."
சனி,Saturn,கர்மா மற்றும் உழைப்பு,காரகத்துவம் (Karaka),"தொழிலாளி, இரும்பு, எள், சேமிப்பறை",இடங்கள்,"பழைய கட்டிடங்கள், சிறை, சாலை மற்றும் இருட்டான இடங்கள்."
சனி,Saturn,கர்மா மற்றும் உழைப்பு,காரகத்துவம் (Karaka),"தொழிலாளி, இரும்பு, எள், சேமிப்பறை",உடல் மற்றும் நோய்கள்,"முழங்கால், பாதம், தாடை, மண்ணீரல் மற்றும் நரம்புகள். நோய்களில் வாதம், முடக்குவாதம், அஜீரணம், ஆஸ்துமா மற்றும் நீண்ட கால நோய்கள் அடங்கும்."
சனி,Saturn,கர்மா மற்றும் உழைப்பு,காரகத்துவம் (Karaka),"தொழிலாளி, இரும்பு, எள், சேமிப்பறை",தொழில்கள்,"தொழிற்சாலைப் பணி, இரும்பு, எண்ணெய், கச்சா எண்ணெய், தோல் தொழில் மற்றும் துப்புரவுத் தொழில்."
சனி,Saturn,கர்மா மற்றும் உழைப்பு,காரகத்துவம் (Karaka),"தொழிலாளி, இரும்பு, எள், சேமிப்பறை",உணவுப் பொருட்கள்,"எள், சோளம், கம்பு, கருணைக் கிழங்கு, நிலத்தடி பயிர்கள் மற்றும் நல்லெண்ணெய்."
சனி,Saturn,கர்மா மற்றும் உழைப்பு,காரகத்துவம் (Karaka),"தொழிலாளி, இரும்பு, எள், சேமிப்பறை",மற்றவை,"கருப்பு நிறம், இரும்பு, எட்டாம் எண், மேற்கு திசை, ஆயுள், வறுமை மற்றும் கடும் உழைப்பு."
சனி,Saturn,கர்மா மற்றும் உழைப்பு,காரகத்துவம் (Karaka),"தொழிலாளி, இரும்பு, எள், சேமிப்பறை",வீட்டின் அமைப்பு,சாப்பிடும் அறை மற்றும் பொருட்கள் சேமிக்கும் அறை.
சனி,Saturn,கர்மா மற்றும் உழைப்பு,காரகத்துவம் (Karaka),"தொழிலாளி, இரும்பு, எள், சேமிப்பறை",வேறு பெயர்கள்,"கதிர் மகன், கரியவன், காரி, நீலன், மந்தன், முடவன், முதுமகன்."
ராகு,Rahu,பிரம்மாண்டம் மற்றும் அன்னியம்,காரகத்துவம் (Karaka),"பாட்டன், விஷம், உளுந்து, தலைவாசல்",உயிர் காரகத்துவங்கள்,தந்தை வழி பாட்டன்-பாட்டி மற்றும் அன்னிய தேசத்தவர்கள்.
ராகு,Rahu,பிரம்மாண்டம் மற்றும் அன்னியம்,காரகத்துவம் (Karaka),"பாட்டன், விஷம், உளுந்து, தலைவாசல்",உடல் மற்றும் நோய்கள்,"வாய், பெருங்குடல் மற்றும் உடல் ஊனம். நோய்களில் புற்றுநோய், எய்ட்ஸ், விஷ நோய்கள் மற்றும் ரகசிய நோய்கள் அடங்கும்."
ராகு,Rahu,பிரம்மாண்டம் மற்றும் அன்னியம்,காரகத்துவம் (Karaka),"பாட்டன், விஷம், உளுந்து, தலைவாசல்",தொழில்கள்,"ரசாயனத்துறை, ஜெராக்ஸ், ஏற்றுமதி-இறக்குமதி, சினிமா மற்றும் நிழல் தொடர்பான வேலைகள்."
ராகு,Rahu,பிரம்மாண்டம் மற்றும் அன்னியம்,காரகத்துவம் (Karaka),"பாட்டன், விஷம், உளுந்து, தலைவாசல்",உணவுப் பொருட்கள்,உளுந்து மற்றும் மாமிசம்.
ராகு,Rahu,பிரம்மாண்டம் மற்றும் அன்னியம்,காரகத்துவம் (Karaka),"பாட்டன், விஷம், உளுந்து, தலைவாசல்",மற்றவை,"கோமேதகம், கருப்பு நிறம், சிறை தண்டனை, வெளிநாட்டுத் தொடர்பு, நான்காம் எண் மற்றும் விபத்துக்கள்."
ராகு,Rahu,பிரம்மாண்டம் மற்றும் அன்னியம்,காரகத்துவம் (Karaka),"பாட்டன், விஷம், உளுந்து, தலைவாசல்",வீட்டின் அமைப்பு,ராஜ நிலை (தலைவாசல்) மற்றும் தெருக்குத்து.
ராகு,Rahu,பிரம்மாண்டம் மற்றும் அன்னியம்,காரகத்துவம் (Karaka),"பாட்டன், விஷம், உளுந்து, தலைவாசல்",வேறு பெயர்கள்,"கரும்பாம்பு, தமம், மதாப்பகை, மதாயுணி."
கேது,Ketu,ஞானம் மற்றும் மோட்சம்,காரகத்துவம் (Karaka),"ஞானி, ஆன்மீகம், கொள்ளு, பின்வாசல்",உயிர் காரகத்துவங்கள்,"தாய்வழிப் பாட்டன்-பாட்டி, ஞானிகள், சன்னியாசிகள் மற்றும் மகான்கள்."
கேது,Ketu,ஞானம் மற்றும் மோட்சம்,காரகத்துவம் (Karaka),"ஞானி, ஆன்மீகம், கொள்ளு, பின்வாசல்",உடல் மற்றும் நோய்கள்,"ஆசன வாய். நோய்களில் வைரஸ் காய்ச்சல், குடல் நோய், தோல் வெடிப்பு மற்றும் தற்கொலை எண்ணம் அடங்கும்."
கேது,Ketu,ஞானம் மற்றும் மோட்சம்,காரகத்துவம் (Karaka),"ஞானி, ஆன்மீகம், கொள்ளு, பின்வாசல்",தொழில்கள்,"ஜோதிடம், மூலிகை வைத்தியம், ஆன்மீக ஆசிரம நிர்வாகம் மற்றும் சிற்ப வேலை."
கேது,Ketu,ஞானம் மற்றும் மோட்சம்,காரகத்துவம் (Karaka),"ஞானி, ஆன்மீகம், கொள்ளு, பின்வாசல்",உணவுப் பொருட்கள்,கொள்ளு.
கேது,Ketu,ஞானம் மற்றும் மோட்சம்,காரகத்துவம் (Karaka),"ஞானி, ஆன்மீகம், கொள்ளு, பின்வாசல்",மற்றவை,"ஞானம், மோட்சம், ஆன்மீகம், தியானம், வைடூரியம், ஏழாம் எண், சிவப்பு நிறம் மற்றும் விவாகரத்து."
கேது,Ketu,ஞானம் மற்றும் மோட்சம்,காரகத்துவம் (Karaka),"ஞானி, ஆன்மீகம், கொள்ளு, பின்வாசல்",வீட்டின் அமைப்பு,"வீட்டின் பின் வாசல், படிக்கட்டு மற்றும் கழிவறை."
கேது,Ketu,ஞானம் மற்றும் மோட்சம்,காரகத்துவம் (Karaka),"ஞானி, ஆன்மீகம், கொள்ளு, பின்வாசல்",வேறு பெயர்கள்,செம்பாம்பு.
